block_state,r,g,b,a
minecraft:iron_block,220,220,220,255
minecraft:spruce_planks,114,84,48,255
minecraft:stone_bricks,122,121,122,255
minecraft:red_wool,160,39,34,255
minecraft:purple_terracotta,118,70,86,255
minecraft:light_blue_terracotta,113,108,137,255
minecraft:red_concrete,142,32,32,255
minecraft:polished_tuff,97,104,99,255
minecraft:cracked_deepslate_tiles,52,52,52,255
minecraft:magenta_wool,189,68,179,255
minecraft:cyan_terracotta,86,91,91,255
minecraft:quartz_bricks,234,229,221,255
minecraft:birch_planks,192,175,121,255
minecraft:orange_wool,240,118,19,255
minecraft:gray_wool,62,68,71,255
minecraft:purple_concrete,100,31,156,255
minecraft:brown_mushroom_block,149,111,81,255
minecraft:black_concrete,8,10,15,255
minecraft:white_terracotta,209,178,161,255
minecraft:brown_wool,114,71,40,255
minecraft:cobbled_deepslate,77,77,80,255
minecraft:deepslate_tiles,54,54,55,255
minecraft:snow_block,249,254,254,255
minecraft:soul_soil,75,57,46,255
minecraft:smooth_basalt,72,72,78,255
minecraft:cherry_planks,226,178,172,255
minecraft:polished_blackstone_bricks,48,42,49,255
minecraft:andesite,136,136,136,255
minecraft:polished_deepslate,72,72,73,255
minecraft:brown_terracotta,77,51,35,255
minecraft:tuff,108,109,102,255
minecraft:orange_terracotta,161,83,37,255
minecraft:end_stone,219,222,158,255
minecraft:light_gray_concrete,125,125,115,255
minecraft:red_terracotta,143,61,46,255
minecraft:suspicious_sand_0,217,204,159,255
minecraft:gray_terracotta,57,42,35,255
minecraft:clay,160,166,179,255
minecraft:pink_wool,237,141,172,255
minecraft:yellow_wool,248,197,39,255
minecraft:dark_oak_planks,66,43,20,255
minecraft:polished_blackstone,53,48,56,255
minecraft:cracked_nether_bricks,40,20,23,255
minecraft:black_terracotta,37,22,16,255
minecraft:magenta_concrete,169,48,159,255
minecraft:waxed_weathered_copper,108,153,110,255
minecraft:soul_sand,81,62,50,255
minecraft:lime_concrete,94,168,24,255
minecraft:blue_terracotta,74,59,91,255
minecraft:terracotta,152,94,67,255
minecraft:yellow_concrete,240,175,21,255
minecraft:netherite_block,66,61,63,255
minecraft:dead_bubble_coral_block,131,123,119,255
minecraft:red_nether_bricks,69,7,9,255
minecraft:coal_block,16,15,15,255
minecraft:green_concrete,73,91,36,255
minecraft:mangrove_planks,117,54,48,255
minecraft:packed_ice,141,180,250,255
minecraft:purpur_block,169,125,169,255
minecraft:blue_ice,116,167,253,255
minecraft:dead_fire_coral_block,131,123,119,255
minecraft:mushroom_stem,203,196,185,255
minecraft:acacia_planks,168,90,50,255
minecraft:cyan_wool,21,137,145,255
minecraft:suspicious_sand_1,216,202,156,255
minecraft:purple_wool,121,42,172,255
minecraft:smooth_red_sandstone,181,97,31,255
minecraft:green_terracotta,76,83,42,255
minecraft:black_wool,20,21,25,255
minecraft:chiseled_nether_bricks,47,23,28,255
minecraft:blue_concrete,44,46,143,255
minecraft:light_blue_wool,58,175,217,255
minecraft:mud,60,57,60,255
minecraft:mud_bricks,137,103,79,255
minecraft:smooth_sandstone,223,214,170,255
minecraft:magenta_terracotta,149,88,108,255
minecraft:calcite,223,224,220,255
minecraft:lime_terracotta,103,117,52,255
minecraft:pink_concrete,213,101,142,255
minecraft:pink_terracotta,161,78,78,255
minecraft:lapis_block,30,67,140,255
minecraft:stone,125,125,125,255
minecraft:white_wool,233,236,236,255
minecraft:brown_concrete,96,59,31,255
minecraft:light_gray_terracotta,135,106,97,255
minecraft:netherrack,97,38,38,255
minecraft:moss_block,89,109,45,255
minecraft:light_blue_concrete,35,137,198,255
minecraft:gray_concrete,54,57,61,255
minecraft:white_concrete,207,213,214,255
minecraft:nether_wart_block,114,2,2,255
minecraft:deepslate_bricks,70,70,71,255
minecraft:yellow_terracotta,186,133,35,255
minecraft:packed_mud,142,106,79,255
minecraft:orange_concrete,224,97,0,255
minecraft:cyan_concrete,21,119,136,255
minecraft:warped_wart_block,22,119,121,255
minecraft:nether_bricks,44,21,26,255
minecraft:polished_andesite,132,134,133,255
minecraft:suspicious_gravel_0,129,125,124,255
minecraft:light_gray_wool,142,142,134,255
minecraft:cracked_stone_bricks,118,117,118,255
minecraft:dead_tube_coral_block,130,123,119,255
minecraft:dripstone_block,134,107,92,255
minecraft:suspicious_gravel_1,128,123,122,255
minecraft:chiseled_deepslate,54,54,54,255
minecraft:smooth_quartz,236,230,223,255
minecraft:green_wool,84,109,27,255
minecraft:blue_wool,53,57,157,255
minecraft:smooth_stone,158,158,158,255
minecraft:lime_wool,112,185,25,255
